f_hz,S_fT
1.0850780866357188,97.82581181653084
1.102943311791613,24.49184372736667
1.1211026782390894,24.091374300505624
1.1395610288557867,23.30997276562533
1.1583232862547104,22.928828269624557
1.1773944540970325,22.55391591847837
1.1967796184265065,21.822381706422625
1.216483949025851,21.822381706422625
1.2365127007954682,21.822381706422625
1.2568712151548591,21.822381706422625
1.2775649214671148,22.18513380954904
1.2985993384868593,22.55391591847837
1.3199800758320337,22.55391591847837
1.3417128354799115,22.928828269624557
1.3638034132877457,23.30997276562533
1.386257700538449,23.30997276562533
1.4090816855117314,23.697453003039623
1.4322814550810945,23.697453003039623
1.4558631963371278,24.091374300505624
1.4798331982375292,24.091374300505624
1.504197853284292,24.49184372736667
1.5289636592285032,24.49184372736667
1.554137220803217,24.49184372736667
1.5797252514848523,24.898970132773258
1.6057345752835948,25.31286417526852
1.632172128563275,25.733638352865707
1.659044961891211,26.161407033625675
1.6863602419185084,26.59628648674242
1.7141252532913134,27.038394914145616
1.7423474005935415,27.038394914145616
1.7710342103215868,27.038394914145616
1.8001933328915447,27.038394914145616
1.829832544679483,27.038394914145616
1.859959750095305,27.038394914145616
1.8905829836907584,26.59628648674242
1.921710412302149,26.161407033625675
1.953350337228335,25.733638352865707
1.9855111964445815,25.31286417526852
2.0182015668528632,24.898970132773258
2.0514301665692165,24.49184372736667
2.085205857248754,24.091374300505624
2.119537646448958,23.697453003039623
2.154434690031884,23.30997276562533
2.189906294605915,23.30997276562533
2.22596192000772,23.697453003039623
2.262611181825072,24.091374300505624
2.299863853961209,24.091374300505624
2.337729871241414,24.091374300505624
2.3762193320625027,24.091374300505624
2.4153425010859477,24.091374300505624
2.455109811975332,24.091374300505624
2.49553187017888,24.091374300505624
2.5366194557577995,23.697453003039623
2.5783835262611867,24.091374300505624
2.620835219648272,24.49184372736667
2.663985857258772,24.49184372736667
2.7078469468321567,24.091374300505624
2.752430185576611,23.30997276562533
2.797747463288545,22.55391591847837
2.8438108655234497,22.18513380954904
2.890632676818964,21.822381706422625
2.938225383971009,21.465561011664164
2.986601679363866,21.465561011664164
3.0357744643550717,21.465561011664164
3.085756852716053,21.465561011664164
3.188203977743762,21.822381706422625
3.240696035787168,22.18513380954904
3.2940523472399748,22.55391591847837
3.348287141568192,22.928828269624557
3.4034148825183075,23.697453003039623
3.45945027197459,22.18513380954904
3.5164082538798995,20.769327492050092
3.5743040182210497,19.76708914156108
3.6331530050797936,18.20300959840272
3.6929709087504943,18.20300959840272
3.7537736819256056,18.20300959840272
3.81557753995005,19.12594540261683
3.87839896514566,21.11457474001868
3.9422547112067945,22.55391591847837
4.00716180766836,23.30997276562533
4.073137564447353,21.822381706422625
4.140199576459223,20.769327492050092
4.208365728310204,19.44387481162532
4.277654199066918,19.44387481162532
4.348083467104511,20.095676243338275
4.419672315034606,21.11457474001868
4.492439834714388,21.822381706422625
4.566405432338169,22.18513380954904
4.641588833612778,22.18513380954904
4.718010089018165,21.822381706422625
4.795689579154607,21.822381706422625
4.874648020177973,21.822381706422625
4.9549064693244524,23.30997276562533
5.036486330526272,24.49184372736667
5.119409360119849,24.49184372736667
5.203697672647938,23.697453003039623
5.289373746757309,23.30997276562533
5.376460431193522,23.30997276562533
5.464980950894399,23.30997276562533
5.5549589131838335,22.55391591847837
5.646418314067566,21.465561011664164
5.739383544632623,21.11457474001868
5.833879397552119,21.11457474001868
5.929931073697145,21.822381706422625
6.027564188857547,22.55391591847837
6.126804780573316,22.928828269624557
6.227679315078499,22.928828269624557
6.330214694359392,21.822381706422625
6.434438263328994,19.76708914156108
6.540377817119525,19.76708914156108
6.648061608495071,20.095676243338275
6.75751835538622,21.11457474001868
6.8687772485488034,23.697453003039623
6.981867959348682,23.697453003039623
7.096820647674757,21.465561011664164
7.21366596998221,21.465561011664164
7.332435087468232,21.822381706422625
7.45315967438229,22.55391591847837
7.575871926473297,22.928828269624557
7.700604569575784,21.822381706422625
7.827390868337492,19.44387481162532
7.956264635090635,18.20300959840272
8.087260238869234,18.20300959840272
8.220412614574904,19.76708914156108
8.355757272293566,20.769327492050092
8.493330306765545,20.769327492050092
8.633168407011583,22.55391591847837
8.775308866117355,23.697453003039623
8.919789591179065,21.822381706422625
9.066649113412796,21.822381706422625
9.215926598430322,21.822381706422625
9.367661856684066,21.465561011664164
9.52189535408408,21.465561011664164
9.678668222789778,21.822381706422625
9.83802227217939,21.822381706422625
10.0,21.822381706422625
10.164644603701149,21.465561011664164
10.331999991955092,20.095676243338275
10.502110796366663,20.095676243338275
10.675022383376003,20.4297254282113
10.850780866357187,21.822381706422625
11.029433117916131,21.11457474001868
11.211026782390892,19.76708914156108
11.395610288557869,19.44387481162532
11.583232862547105,19.44387481162532
11.967796184265064,160.41707625083342
12.164839490258514,133.810947770298
12.56871215154859,36.37970629506173
12.775649214671144,36.37970629506173
12.985993384868593,31.36317690646961
13.19980075832034,21.11457474001868
13.417128354799116,20.095676243338275
13.63803413287745,19.76708914156108
13.862577005384493,19.76708914156108
14.090816855117318,21.11457474001868
14.322814550810945,22.928828269624557
14.558631963371273,20.769327492050092
14.798331982375297,20.769327492050092
15.041978532842922,21.11457474001868
15.289636592285031,21.11457474001868
15.541372208032168,21.11457474001868
15.797252514848523,21.822381706422625
16.057345752835953,22.18513380954904
16.321721285632744,22.928828269624557
16.590449618912114,24.091374300505624
16.863602419185078,24.49184372736667
17.141252532913132,21.11457474001868
17.42347400593541,21.11457474001868
17.710342103215872,21.11457474001868
18.001933328915445,23.30997276562533
18.29832544679483,23.30997276562533
18.59959750095305,21.465561011664164
18.905829836907586,21.11457474001868
19.217104123021485,20.4297254282113
19.53350337228336,20.769327492050092
19.85511196444582,21.822381706422625
20.18201566852864,21.822381706422625
20.51430166569217,22.55391591847837
20.852058572487547,21.822381706422625
21.19537646448958,21.822381706422625
21.544346900318832,21.465561011664164
21.89906294605915,21.465561011664164
22.259619200077196,23.697453003039623
22.62611181825071,23.697453003039623
22.9986385396121,23.697453003039623
23.37729871241415,21.822381706422625
23.762193320625027,21.465561011664164
24.153425010859465,21.465561011664164
24.551098119753316,21.822381706422625
24.955318701788805,23.697453003039623
25.366194557577995,21.822381706422625
25.78383526261186,20.4297254282113
26.208352196482718,20.095676243338275
26.63985857258773,20.095676243338275
27.078469468321565,21.822381706422625
27.52430185576611,21.822381706422625
27.97747463288545,21.822381706422625
28.4381086552345,21.822381706422625
28.90632676818963,22.928828269624557
29.38225383971009,22.18513380954904
29.86601679363865,20.095676243338275
30.357744643550717,20.095676243338275
30.85756852716052,20.095676243338275
31.365621741294078,21.822381706422625
31.882039777437623,22.928828269624557
32.40696035787167,21.822381706422625
32.94052347239973,21.465561011664164
33.48287141568191,21.465561011664164
34.034148825183074,22.18513380954904
34.59450271974589,22.18513380954904
35.16408253879898,22.928828269624557
35.7430401822105,25.31286417526852
36.33153005079794,20.4297254282113
36.92970908750494,20.4297254282113
37.53773681925604,21.822381706422625
38.1557753995005,21.11457474001868
38.783989651456594,21.11457474001868
39.422547112067946,21.822381706422625
40.07161807668357,22.55391591847837
40.73137564447353,24.898970132773258
41.40199576459224,20.095676243338275
42.08365728310204,20.095676243338275
42.776541990669166,20.095676243338275
43.48083467104511,20.095676243338275
44.19672315034608,21.822381706422625
44.92439834714388,22.55391591847837
45.66405432338168,22.18513380954904
46.4158883361278,22.18513380954904
47.18010089018167,22.18513380954904
47.95689579154609,22.18513380954904
48.746480201779725,20.769327492050092
49.54906469324454,19.44387481162532
50.364863305262745,19.44387481162532
51.194093601198496,19.44387481162532
52.03697672647938,19.44387481162532
52.89373746757311,19.44387481162532
53.76460431193526,19.44387481162532
54.64980950894397,19.44387481162532
55.54958913183832,19.44387481162532
56.46418314067567,19.12594540261683
57.39383544632623,19.12594540261683
58.33879397552116,19.12594540261683
59.29931073697145,18.81321450008362
60.27564188857547,18.81321450008362
61.26804780573316,18.81321450008362
62.27679315078496,18.81321450008362
63.302146943593925,18.81321450008362
64.34438263328994,18.81321450008362
65.40377817119526,18.81321450008362
66.48061608495068,18.81321450008362
67.5751835538622,18.81321450008362
68.68777248548804,18.81321450008362
69.81867959348682,119.22636822473233
70.96820647674753,121.20826077905969
72.1366596998221,136.03527888951442
73.32435087468232,136.03527888951442
74.53159674382292,138.2965849275275
75.75871926473297,138.2965849275275
77.00604569575786,138.2965849275275
78.27390868337496,138.2965849275275
79.56264635090638,138.2965849275275
80.87260238869233,127.35380737314216
82.20412614574906,136.03527888951442
83.5575727229357,133.810947770298
84.93330306765547,113.47301686224412
90.666491134128,127.35380737314216
92.15926598430316,131.62298698801396
93.67661856684065,136.03527888951442
95.21895354084076,136.03527888951442
96.78668222789771,138.2965849275275
98.3802227217939,138.2965849275275
100.0,138.2965849275275
101.64644603701149,138.2965849275275
103.31999991955088,138.2965849275275
105.0211079636666,136.03527888951442
106.75022383376005,136.03527888951442
108.50780866357186,131.62298698801396
110.29433117916123,18.50559710254796
112.11026782390898,18.50559710254796
113.9561028855787,18.50559710254796
115.83232862547104,18.81321450008362
117.73944540970322,19.12594540261683
119.67796184265056,19.12594540261683
121.64839490258514,18.81321450008362
123.65127007954683,18.20300959840272
125.6871215154859,17.905369743185407
